longitude,latitude,#days
5.6,50.1,49
5.6,50.17,53
5.6,50.24,57
5.6,50.31,36
5.6,50.38,21
5.6,50.45,13
5.6,50.519999999999996,13
5.6,50.589999999999996,13
5.6,50.66,11
5.6,50.73,10
5.699999999999999,50.1,49
5.699999999999999,50.17,69
5.699999999999999,50.24,81
5.699999999999999,50.31,51
5.699999999999999,50.38,31
5.699999999999999,50.45,17
5.699999999999999,50.519999999999996,15
5.699999999999999,50.589999999999996,15
5.699999999999999,50.66,12
5.699999999999999,50.73,8
5.8,50.1,47
5.8,50.17,69
5.8,50.24,73
5.8,50.31,38
5.8,50.38,30
5.8,50.45,32
5.8,50.519999999999996,20
5.8,50.589999999999996,15
5.8,50.66,13
5.8,50.73,12
5.8999999999999995,50.1,44
5.8999999999999995,50.17,51
5.8999999999999995,50.24,48
5.8999999999999995,50.31,36
5.8999999999999995,50.38,30
5.8999999999999995,50.45,57
5.8999999999999995,50.519999999999996,29
5.8999999999999995,50.589999999999996,23
5.8999999999999995,50.66,19
5.8999999999999995,50.73,16
6.0,50.1,44
6.0,50.17,42
6.0,50.24,47
6.0,50.31,46
6.0,50.38,39
6.0,50.45,57
6.0,50.519999999999996,68
6.0,50.589999999999996,32
6.0,50.66,18
6.0,50.73,22
6.1,50.1,45
6.1,50.17,39
6.1,50.24,43
6.1,50.31,43
6.1,50.38,40
6.1,50.45,79
6.1,50.519999999999996,89
6.1,50.589999999999996,65
6.1,50.66,27
6.1,50.73,26
6.199999999999999,50.1,46
6.199999999999999,50.17,42
6.199999999999999,50.24,39
6.199999999999999,50.31,49
6.199999999999999,50.38,60
6.199999999999999,50.45,66
6.199999999999999,50.519999999999996,68
6.199999999999999,50.589999999999996,74
6.199999999999999,50.66,53
6.199999999999999,50.73,27
6.3,50.1,47
6.3,50.17,42
6.3,50.24,60
6.3,50.31,82
6.3,50.38,85
6.3,50.45,78
6.3,50.519999999999996,68
6.3,50.589999999999996,64
6.3,50.66,63
6.3,50.73,40
6.3999999999999995,50.1,45
6.3999999999999995,50.17,45
6.3999999999999995,50.24,77
6.3999999999999995,50.31,82
6.3999999999999995,50.38,67
6.3999999999999995,50.45,77
6.3999999999999995,50.519999999999996,61
6.3999999999999995,50.589999999999996,45
6.3999999999999995,50.66,40
6.3999999999999995,50.73,34
6.5,50.1,54
6.5,50.17,49
6.5,50.24,72
6.5,50.31,78
6.5,50.38,65
6.5,50.45,58
6.5,50.519999999999996,40
6.5,50.589999999999996,31
6.5,50.66,25
6.5,50.73,18
